#Name	TPM
TRINITY_g544_i1_1	0.000000
TRINITY_g545_i1_1	0.000000
TRINITY_g545_i1_2	3.250062
TRINITY_g546_i1_1	0.000000
TRINITY_g547_i1_1	0.000000
TRINITY_g548_i1_1	8.654588
TRINITY_g549_i1_1	0.000000
TRINITY_g550_i1_1	0.000000
TRINITY_g551_i1_1	0.000000
TRINITY_g552_i1_1	0.000000
TRINITY_g553_i1_1	0.000000
TRINITY_g554_i1_1	0.000000
TRINITY_g555_i1_1	0.790025
TRINITY_g555_i1_2	1.484636
TRINITY_g556_i1_1	11.556709
TRINITY_g557_i1_1	0.000000
TRINITY_g558_i1_1	0.000000
TRINITY_g559_i1_1	0.000000
TRINITY_g559_i1_2	0.000000
TRINITY_g560_i1_1	0.193797
TRINITY_g561_i1_1	0.000000
TRINITY_g561_i1_2	0.000000
TRINITY_g561_i1_3	0.000000
TRINITY_g562_i1_1	0.000000
TRINITY_g563_i1_1	0.000000
TRINITY_g564_i1_1	0.000000
TRINITY_g564_i1_2	0.000000
TRINITY_g565_i1_1	0.000000
TRINITY_g566_i1_1	0.000000
TRINITY_g568_i1_1	0.000000
TRINITY_g569_i1_1	0.000000
TRINITY_g570_i1_1	0.000000
TRINITY_g571_i1_1	0.000000
TRINITY_g572_i1_1	4.603086
TRINITY_g573_i1_1	1.291951
TRINITY_g574_i1_1	0.000000
TRINITY_g575_i1_1	0.497787
TRINITY_g575_i1_2	0.497787
TRINITY_g576_i1_1	0.000000
TRINITY_g577_i1_1	0.000000
TRINITY_g578_i1_1	0.000000
TRINITY_g579_i1_1	0.000000
TRINITY_g579_i1_2	4.577870
TRINITY_g580_i1_1	0.000000
TRINITY_g580_i1_2	0.000000
TRINITY_g581_i1_1	0.000000
TRINITY_g582_i1_1	0.000000
TRINITY_g582_i1_2	0.000000
TRINITY_g583_i1_1	0.000000
TRINITY_g583_i1_2	0.000000
TRINITY_g584_i1_1	0.000000
TRINITY_g585_i1_1	0.000000
TRINITY_g585_i1_2	0.000000
